timestamp,step,loss_total,loss_mse,loss_cmc,cos_pos,cos_neg
2026-06-29 11:12:16,76,-0.55926,0.035871,-0.595131,0.623023,0.325457
2026-06-29 11:12:16,77,-0.681558,0.026674,-0.708233,0.511526,0.15741
2026-06-29 11:12:17,78,-0.821825,0.02215,-0.843975,0.364461,-0.057527
2026-06-29 11:12:17,79,-0.983592,0.026581,-1.010172,0.665967,0.160881
2026-06-29 11:12:17,80,-0.947123,0.037719,-0.984842,0.553581,0.06116
2026-06-29 11:12:18,81,-0.928352,0.019449,-0.947801,0.683681,0.209781
2026-06-29 11:12:18,82,-1.176748,0.056584,-1.233332,0.634499,0.017833
2026-06-29 11:12:18,83,-0.981012,0.042552,-1.023564,0.475939,-0.035843
2026-06-29 11:12:18,84,-0.833337,0.035681,-0.869019,0.663047,0.228537
2026-06-29 11:12:19,85,-0.973714,0.021832,-0.995547,0.619372,0.121599
2026-06-29 11:12:19,86,-1.258599,0.026605,-1.285205,0.622426,-0.020176
2026-06-29 11:12:20,87,-0.634825,0.021266,-0.65609,0.641183,0.313138
2026-06-29 11:12:20,88,-0.869192,0.031754,-0.900946,0.343275,-0.107198
2026-06-29 11:12:20,89,-0.848482,0.024794,-0.873275,0.445414,0.008776
2026-06-29 11:12:21,90,-0.769087,0.019785,-0.788873,0.818465,0.424029
2026-06-29 11:12:21,91,-0.894772,0.034616,-0.929388,0.341846,-0.122848
2026-06-29 11:12:21,92,-0.654326,0.042927,-0.697253,0.255046,-0.09358
2026-06-29 11:12:21,93,-0.969229,0.041169,-1.010398,0.591128,0.085929
2026-06-29 11:12:21,94,-0.822622,0.032578,-0.8552,0.368191,-0.059409
2026-06-29 11:12:22,95,-0.682718,0.017727,-0.700445,0.610076,0.259854
2026-06-29 11:12:22,96,-0.882671,0.025374,-0.908045,0.483204,0.029181
2026-06-29 11:12:23,97,-0.754665,0.023799,-0.778464,0.426719,0.037487
2026-06-29 11:12:23,98,-1.175855,0.035835,-1.211691,0.387794,-0.218051
2026-06-29 11:12:23,99,-0.647827,0.035841,-0.683667,0.489077,0.147243
2026-06-29 11:12:24,100,-1.0388,0.031979,-1.070779,0.526723,-0.008667
2026-06-29 11:12:24,101,-0.782819,0.027804,-0.810623,0.424883,0.019572
2026-06-29 11:12:24,102,-1.177011,0.026514,-1.203525,0.734173,0.13241
2026-06-29 11:12:25,103,-0.332272,0.020639,-0.352911,0.35444,0.177985
2026-06-29 11:12:25,104,-0.366208,0.023863,-0.39007,0.732345,0.53731
2026-06-29 11:12:25,105,-0.706562,0.022234,-0.728796,0.567187,0.202789
2026-06-29 11:12:25,106,-0.715227,0.018905,-0.734132,0.500712,0.133646
2026-06-29 11:12:26,107,-0.530523,0.021467,-0.55199,0.704341,0.428346
2026-06-29 11:12:26,108,-0.522493,0.02898,-0.551473,0.601338,0.325602
2026-06-29 11:12:26,109,-0.761478,0.016323,-0.777801,0.412166,0.023266
2026-06-29 11:12:26,110,-0.770214,0.024764,-0.794979,0.483133,0.085644
2026-06-29 11:12:27,111,-0.714899,0.034285,-0.749184,0.603712,0.22912
2026-06-29 11:12:27,112,-0.634265,0.017727,-0.651993,0.547905,0.221909
2026-06-29 11:12:27,113,-0.715336,0.017442,-0.732777,0.466557,0.100169
2026-06-29 11:12:28,114,-0.671394,0.013779,-0.685173,0.560349,0.217763
2026-06-29 11:12:28,115,-0.875556,0.019589,-0.895146,0.749799,0.302226
2026-06-29 11:12:28,116,-0.408797,0.022158,-0.430954,0.749498,0.534021
2026-06-29 11:12:28,117,-0.937671,0.022881,-0.960552,0.71469,0.234414
2026-06-29 11:12:29,118,-0.788885,0.028608,-0.817493,0.671427,0.26268
